1;1;855;;1: ;95;2: ;75


2;1;760;;1: ;105;2: ;55

2;2;780;;1: ;95;2: ;65


3;1;655;;1: ;95;2: ;1

3;2;705;;1: ;1;2: ;100

3;3;685;;1: ;125;2: ;31

3;4;715;;1: ;11;2: ;110


4;1;560;;1: ;120;2: ;1

4;2;654;;1;1;1;1

4;3;605;;1: ;1;2: ;115

4;4;704;;1;1;1;1


5;1;440;;1: ;1;2: ;120

5;2;559;;1;1;1;1

5;3;604;;1;1;1;1

5;4;490;;1: ;95;2: ;1


6;1;439;;1;1;1;1

6;2;320;;1: ;1;2: ;95

6;3;395;;1: ;95;2: ;1

6;4;489;;1;1;1;1


7;1;319;;1;1;1;1

7;2;225;;1: ;1;2: ;150

7;3;300;;1: ;160;2: ;1

7;4;394;;1;1;1;1


8;1;224;;1;1;1;1

8;2;75;;1: ;75;2: ;1

8;3;140;;1: ;1;2: ;140

8;4;299;;1;1;1;1


9;1;0;

9;2;74;

9;3;139;
